key,balance,balanceEligible,balanceAtStart, isDisqualified, isNode, isActive,isEligibleFor_1_2,isEligibleFor_1_3
9gYsGWFZ8CkECq9HLH4c7qyQP2z6kwQmQy,36249,36249,0, no, no, no,yes,no
9hvtHsCFjFwYRrTEuDUChYL6kPVgCt5gaY,73621,73621,0, no, no, no,yes,no
9j5j5Tf72bGeu1kCKGCVqNfQw6qEVzr479,36249,36249,0, no, no, no,yes,no
9owqUjVTq6bhaU2G2j5K5GMKmgeMpnSaYw,36249,36249,0, no, no, no,yes,no
TBWBQ1rCXm16huegLWvSz5TCs5KzfoYaNB,105482,105482,0, no, no, no,yes,no
TC4Xfxc9KKb29kk9HDMPdm23Wm2njUmMwZ,35622,35622,0, no, no, no,yes,no
TCi1wcVbkmpUiTcG277o5Y3VeD3zgtsHRD,322971,322971,0, no, no, no,yes,no
TDJVZE5oCYYbJQyizU4FgB2KpnKVdebnxg,1627039,1627039,0, no, no, no,yes,no
TDS6JiCTzp2ZfUyKV5ZW7m14ywCQKhqpHQ,12463,12463,0, no, no, no,yes,no
TDwoQB3vRKrQ9RKrrFc2TLnaM1yajwETtT,207734,207734,0, no, no, no,yes,no
TGvJ47nPG9Q59LUWViA9g1uawR676R57q2,12250,12250,0, no, no, no,yes,no
THypUznpFaDHaE7PS6yAc4pHNjC2BnWzUv,1627039,1627039,0, no, no, no,yes,no
TJBJwmvydJBwE8LuJ1LUiDKnNN1DkQTAxU,1043,1043,0, no, no, no,yes,no
TJKQcMevM1RNvdZ1H695acHfFeNC8NRJEj,35104,35104,0, no, no, no,yes,no
TJPvsW4dVytSMcfbhj6U5jz5rVihuTaKGE,250,250,0, no, no, no,no,no
TLn1PGAVccBBjF8JuhQmATCR8vxhmamJg8,225794,225794,0, no, no, no,yes,no
TMBFXKKq9TuJ6wLFKXiEK24BTFGtqEjYg5,1000,1000,0, no, no, no,yes,no
TMmBYnTs3GLZW7EFcyZ5kLtD25A28vrM8n,12250,12250,0, no, no, no,yes,no
TSziXCdaBcPk3Dt94BbTH9BZDH18K6sWsc,137750,137750,0, no, no, no,yes,no
TT4yM9qkGjBHxAUYxCUXt2oQnuLhnWpwrS,37507,37507,0, no, no, no,yes,no
TTpGqTr2PBeVx4vvNRJ9iTq4NwpTCbSSwy,851000,851000,0, no, no, no,yes,no
TVjT48H33ayaEcb4TmxyTWUd6Ly6Roou8Z,250,250,0, no, no, no,no,no
TVuTV7d5vBKyfg5j45RnnYgdo9G3ET2t2f,40000,40000,0, no, no, no,yes,no
TZ8mBwCKAM2fJ9ioLGetFb2Zqo8rqb5WMQ,250,250,0, no, no, no,no,no
